AccessionVersion	TaxSuperkingdom	TaxPhylum	TaxClass	TaxOrder	TaxFamily	TaxGenus	TaxSpecies	Topology	MOB_60	MPF	PFinder_80	CARD_80	Filtered	Size	PTU_Curated	HRange_Curated	CComp	BlockCC_old	BlockCC4_old	sHSBM_old	PTU_sHSBM_old	BlockCC	BlockCC4	sHSBM	PTU_sHSBM	HRange
NC_002091.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	circular	MOBV	-	-	-	No	5415	-	-	564	-	-	-	-	0_4_5_3_16_14_44_133_280_1	-	-	-	-
NC_011150.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii	circular	MOBF	-	-	-	No	79251	PTU-Cor2	I	555	1_0_5_9_7_3_9_7_48_13_369_0	1_0_5_9_7_3_9_7_48_13_369_0	1_0_5_9_7_3_9_7_48_13_369_0	PTU-Cor2	0_5_1_11_2_20_69_128_813_1	0_5_1_11_2_20_69_128_813_1	0_5_1_11_2_20_69_128_813_1	PTU-Cor2	I
NC_011151.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii	circular	MOBF	-	-	-	No	80610	PTU-Cor2	I	555	1_0_5_9_7_3_9_7_48_13_369_0	1_0_5_9_7_3_9_7_48_13_369_0	1_0_5_9_7_3_9_7_48_13_369_0	PTU-Cor2	0_5_1_11_2_20_69_128_813_1	0_5_1_11_2_20_69_128_813_1	0_5_1_11_2_20_69_128_813_1	PTU-Cor2	I
NC_010029.2	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7500	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_004446.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia amylovora	circular	-	-	ColRNAI	TEM-181	No	2825	-	-	1	1_5_6_10_3_16_25_27_45_164_153_0	1_5_6_10_3_16_25_27_45_164_153_0	1_5_6_10_3_16_25_27_45_164_153_0	PTU-E53	0_4_5_9_4_18_70_61_103_0	0_4_5_9_4_18_70_61_103_0	0_4_5_9_4_18_70_61_103_0	PTU-E53	VI
NC_009351.1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio anguillarum	circular	MOBP	-	-	-	No	7941	-	-	565	-	-	-	-	0_5_1_11_2_20_1_129_276_1	-	-	-	-
NC_013784.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	circular	-	-	-	-	No	37066	PTU-Sph3	I	566	1_0_5_9_7_3_17_42_39_92_354_1	1_0_5_9_7_3_17_42_39_92_354_1	1_0_5_9_7_3_17_42_39_92_354_1	PTU-Sph3	0_5_1_6_5_25_5_3_605_1	0_5_1_6_5_25_5_3_605_1	0_5_1_6_5_25_5_3_605_1	PTU-Sph3	I
NC_013785.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	circular	-	-	-	-	No	33915	PTU-Sph4	I	567	1_0_5_9_7_3_17_26_78_105_534_1	1_0_5_9_7_3_17_26_78_105_534_1	1_0_5_9_7_3_17_26_78_105_534_1	PTU-Sph4	0_5_1_6_5_25_5_3_605_2	0_5_1_6_5_25_5_3_605_2	0_5_1_6_5_25_5_3_605_2	PTU-Sph4	I
NC_013786.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	circular	-	-	-	-	No	32801	PTU-Sph1	I	563	1_5_6_10_3_16_25_41_57_104_293_0	1_5_6_10_3_16_25_41_57_104_293_0	1_5_6_10_3_16_25_41_57_104_293_0	PTU-Sph1	0_4_5_3_16_14_15_127_98_1	0_4_5_3_16_14_15_127_98_1	0_4_5_3_16_14_15_127_98_1	PTU-Sph1	I
NC_013787.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	circular	-	-	-	-	No	32400	PTU-Sph6	I	559	1_5_0_4_4_6_2_0_88_30_396_0	1_5_0_4_4_6_2_0_88_30_396_0	1_5_0_4_4_6_2_0_88_30_396_0	PTU-Sph6	0_4_5_9_15_15_11_146_95_1	0_4_5_9_15_15_11_146_95_1	0_4_5_9_15_15_11_146_95_1	PTU-Sph6	I
NC_013788.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	circular	-	-	-	-	No	30952	PTU-Sph5	I	568	1_0_5_9_11_2_30_3_21_128_506_0	1_0_5_9_11_2_30_3_21_128_506_0	1_0_5_9_11_2_30_3_21_128_506_0	PTU-Sph5	0_4_5_3_10_16_18_85_810_2	0_4_5_3_10_16_18_85_810_2	0_4_5_3_10_16_18_85_810_2	PTU-Sph5	I
NC_014231.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	typeT	IncN	APH(4)-Ia;CTX-M-1;CTX-M-65;mphA	No	53207	PTU-N1	-	1	1_0_5_5_6_17_11_47_55_0_87_0	1_0_5_5_6_17_11_47_55_0_87_0	1_0_5_5_6_17_11_47_55_0_87_0	PTU-N1	0_4_6_5_7_10_65_86_107_0	0_4_6_5_7_10_65_86_107_0	0_4_6_5_7_10_65_2_134_0	PTU-N1	IV
NC_015509.1	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Bhargavaea	Bhargavaea cecembensis	circular	MOBV	-	-	tet(L)	No	5108	PTU-Bac9	V	196	1_5_6_3_10_0_12_2_59_43_178_0	1_5_6_3_10_0_12_2_59_43_178_0	1_5_6_3_10_0_12_2_59_43_178_0	PTU-Bac9	0_5_1_11_2_27_19_22_374_0	0_5_1_11_2_27_19_22_374_0	0_5_1_11_2_27_19_22_374_0	PTU-Bac9	V
NC_003486.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	circular	-	-	-	AAC(6')-Ib10;ANT(3'')-IIa;OXA-9;TEM-181;TEM-181	No	11354	-	-	1	1_0_5_5_6_20_8_40_65_59_248_0	-	-	-	0_4_6_5_7_3_29_121_345_0	-	-	-	-
NC_009666.2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus plantarum	circular	MOBV	-	-	-	No	3320	PTU-Lab12	III	3	1_5_6_3_10_0_12_2_59_153_213_0	1_5_6_3_10_0_12_2_59_153_213_0	1_5_6_3_10_0_12_2_59_153_213_0	PTU-Lab12	0_4_5_3_16_24_7_183_3_0	0_4_5_3_16_24_7_183_3_0	0_4_5_3_16_24_7_183_3_0	PTU-Lab12	III
NC_011977.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBQ	-	Col156	-	No	7577	PTU-E20	-	1	1_0_5_9_7_3_9_7_48_13_79_0	1_0_5_9_7_3_9_7_48_13_79_0	1_0_5_9_7_3_9_7_48_13_79_0	PTU-E20	0_4_5_3_16_24_7_183_194_0	0_4_5_3_16_24_7_183_194_0	0_4_5_3_16_24_7_183_194_0	PTU-E20	III
NC_012813.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	circular	-	-	-	OXA-24	No	8963	PTU-Pse7	I	45	1_5_6_3_10_0_12_4_12_51_107_0	1_5_6_3_10_0_12_4_12_51_107_0	1_5_6_3_10_0_12_4_12_51_107_0	PTU-Pse7	0_4_5_3_10_2_52_112_140_0	0_4_5_3_10_2_52_112_140_0	0_4_5_3_10_2_52_112_140_0	PTU-Pse7	I
NC_012629.1	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	circular	-	-	-	-	No	7506	PTU-Cla2	II	71	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	1_5_6_3_10_5_6_35_30_141_91_0	PTU-Cla2	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	0_4_5_3_10_2_41_185_115_0	PTU-Cla2	II
NC_004991.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	circular	-	-	-	-	No	1440	-	-	569	-	-	-	-	0_4_5_3_16_14_44_133_578_2	-	-	-	-
NC_015712.1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	circular	MOBM	-	-	-	No	67479	PTU-Clo1	I	29	1_5_0_4_4_6_2_0_67_12_537_0	1_5_0_4_4_6_2_0_67_12_537_0	1_5_0_4_4_6_2_0_67_12_537_0	PTU-Clo1	0_4_5_3_10_16_63_55_292_0	0_4_5_3_10_16_63_55_292_0	0_4_5_3_10_16_63_55_292_0	PTU-Clo1	II
NC_015855.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	circular	MOBP	typeI	-	-	No	133451	-	-	570	-	-	-	-	0_4_5_3_10_16_60_179_99_1	-	-	-	-
NC_007202.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	circular	-	-	-	-	No	2058	PTU-Bac30	I	140	1_5_0_4_4_9_28_14_76_177_140_0	1_5_0_4_4_9_28_14_76_177_140_0	1_5_0_4_4_9_28_14_76_177_140_0	PTU-Bac30	0_5_1_6_0_30_3_68_645_0	0_5_1_6_0_30_3_68_645_0	0_5_1_6_0_30_3_68_645_0	PTU-Bac30	I
NC_009751.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	circular	MOBV	-	rep7	catA8;tetS	No	29871	-	-	571	-	-	-	-	0_4_5_3_10_16_63_75_737_1	-	-	-	-
NC_006821.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	circular	MOBV	-	-	-	No	6700	-	-	344	-	-	-	-	0_4_5_3_10_2_52_122_25_1	-	-	-	-
NC_001994.1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	circular	-	-	rep10b	-	No	1658	PTU-Bac36	I	153	1_5_0_4_4_9_23_5_7_123_215_1	1_5_0_4_4_9_23_5_7_123_215_1	1_5_0_4_4_9_23_5_7_123_215_1	PTU-Bac36	0_5_1_11_11_23_4_24_155_0	0_5_1_11_11_23_4_24_155_0	0_5_1_11_11_23_4_24_155_0	PTU-Bac36	I
NC_002698.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri	circular	-	-	IncFII	-	No	221851	PTU-FSh	III	1	1_0_5_5_6_17_15_12_70_47_177_0	1_0_5_5_6_17_15_12_70_47_177_0	1_0_5_5_6_17_15_12_70_47_177_0	PTU-FSh	0_4_6_5_14_26_40_101_238_0	0_4_6_5_14_26_40_101_238_0	0_4_6_5_14_26_40_101_238_0	PTU-FSh	III
NC_017385.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ketogulonicigenium	Ketogulonicigenium vulgare	circular	-	-	-	-	No	242715	-	-	572	-	-	-	-	0_5_1_11_11_23_6_134_468_3	-	-	-	-
NC_017386.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ketogulonicigenium	Ketogulonicigenium vulgare	circular	MOBP	typeT	-	-	No	267986	PTU-Rho2	I	573	1_5_0_4_4_6_2_0_88_30_396_1	1_5_0_4_4_6_2_0_88_30_396_1	1_5_0_4_4_6_2_0_88_30_396_1	PTU-Rho2	0_5_1_11_11_13_48_37_208_0	0_5_1_11_11_13_48_37_208_0	0_5_1_11_11_13_48_37_208_0	PTU-Rho2	I
NC_004930.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	circular	MOBV	-	-	-	No	3854	-	-	574	-	-	-	-	0_4_5_9_15_15_10_12_284_5	-	-	-	-
NC_014232.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	circular	MOBF	-	IncFII(pCoo)	-	No	101857	PTU-E38	I	1	1_0_5_9_11_2_30_3_32_52_472_0	1_0_5_9_11_2_30_3_32_52_472_0	1_0_5_9_11_2_30_3_32_52_472_0	PTU-E38	0_4_6_5_14_26_22_78_347_0	0_4_6_5_14_26_22_78_347_0	0_4_6_5_14_26_22_78_347_0	PTU-E38	I
NC_014247.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus hoagii	circular	MOBF	-	-	-	No	83100	PTU-Cor2	I	555	1_0_5_9_7_3_9_7_48_13_369_0	1_0_5_9_7_3_9_7_48_13_369_0	1_0_5_9_7_3_9_7_48_13_369_0	PTU-Cor2	0_5_1_11_2_20_69_128_813_1	0_5_1_11_2_20_69_128_813_1	0_5_1_11_2_20_69_128_813_1	PTU-Cor2	I
NC_019255.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	-	[Pasteurella] aerogenes	circular	-	-	-	ANT(3'')-IIa;SAT-1;dfrA1	No	5415	-	-	1	1_0_5_9_11_21_29_29_64_60_184_0	-	-	-	0_4_6_5_14_26_40_91_354_0	-	-	-	-
NC_019979.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	-	[Pasteurella] aerogenes	circular	MOBP	-	-	APH(3'')-Ib;sul2;sul2	No	5360	PTU-Pas1	III	1	1_5_6_10_3_16_25_27_45_144_120_0	1_5_6_10_3_16_25_27_45_144_120_0	1_5_6_10_3_16_25_27_45_144_120_0	PTU-Pas1	0_4_5_9_4_18_70_10_8_0	0_4_5_9_4_18_70_10_8_0	0_4_5_9_4_18_70_10_8_0	PTU-Pas4	III
NC_006145.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides	circular	-	-	-	-	No	1828	-	-	575	-	-	-	-	0_4_5_3_16_14_44_133_578_3	-	-	-	-
NC_001379.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	circular	-	-	-	-	No	3292	-	-	576	-	-	-	-	0_4_5_9_15_12_43_181_752_2	-	-	-	-
NC_002102.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	circular	-	-	-	-	No	19360	-	-	577	-	-	-	-	0_5_1_11_2_20_37_103_257_4	-	-	-	-
NC_012722.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pentosus	circular	-	-	-	-	No	2424	PTU-Lab12	III	3	1_5_6_3_10_0_12_2_59_153_213_0	1_5_6_3_10_0_12_2_59_153_213_0	1_5_6_3_10_0_12_2_59_153_213_0	PTU-Lab12	0_4_5_3_16_24_7_183_3_0	0_4_5_3_16_24_7_183_3_0	0_4_5_3_16_24_7_183_3_0	PTU-Lab12	III
NC_011839.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	circular	MOBQ	typeFATA	-	-	No	33333	-	-	6	1_5_0_4_4_6_2_18_34_148_445_0	1_5_0_4_4_6_2_18_34_148_445_0	1_5_0_4_4_6_2_18_34_148_445_0	PTU-Lab22	0_5_1_6_5_25_42_106_288_0	0_5_1_6_5_25_42_106_288_0	0_5_1_6_5_25_42_106_288_0	PTU-Lab22	III
NC_001757.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	linear	-	-	-	-	No	5113	-	-	578	-	-	-	-	0_4_5_9_15_12_9_97_583_2	-	-	-	-
NC_014553.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	circular	-	-	-	-	No	5254	-	-	579	-	-	-	-	0_4_6_5_17_9_16_165_406_1	-	-	-	-
NC_004942.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei	circular	-	-	-	-	No	12959	-	-	580	-	-	-	-	0_4_6_5_17_9_2_41_703_2	-	-	-	-
NC_010936.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei	circular	MOBV	-	-	lnuA	No	4973	-	-	581	-	-	-	-	0_5_1_11_2_27_19_104_291_0	-	-	-	-
NC_011652.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei	circular	-	-	-	-	No	1970	PTU-Lab31	IV	2	1_5_0_4_4_9_23_5_27_46_94_0	1_5_0_4_4_9_23_5_27_46_94_0	1_5_0_4_4_9_23_5_27_46_94_0	PTU-Lab31	0_5_1_11_11_23_30_5_181_0	0_5_1_11_11_23_30_5_181_0	0_5_1_11_11_23_30_5_181_0	PTU-Lab31	IV
NC_011798.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus farciminis	circular	-	-	-	-	No	2396	PTU-Lab31	IV	2	1_5_0_4_4_9_23_5_27_46_94_0	1_5_0_4_4_9_23_5_27_46_94_0	1_5_0_4_4_9_23_5_27_46_94_0	PTU-Lab31	0_5_1_11_11_23_30_5_181_0	0_5_1_11_11_23_30_5_181_0	0_5_1_11_11_23_30_5_181_0	PTU-Lab31	IV
NC_014255.1	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	circular	-	-	-	-	No	32307	PTU-Bac29	I	6	1_5_6_10_3_16_25_41_72_22_77_0	1_5_6_10_3_16_25_41_72_22_77_0	1_5_6_10_3_16_25_41_72_22_77_0	PTU-Bac29	0_5_1_6_5_25_8_17_444_0	0_5_1_6_5_25_8_17_444_0	0_5_1_6_5_25_8_17_444_0	PTU-Bac29	I
NC_001787.1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella pyogenes	circular	-	-	-	-	No	2439	-	-	582	-	-	-	-	0_5_1_11_11_23_6_126_747_3	-	-	-	-
NC_010908.1	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium asteroides	circular	-	-	-	-	No	2111	-	-	583	-	-	-	-	0_5_1_11_2_20_37_118_728_1	-	-	-	-
NC_010877.1	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum	circular	-	-	-	-	No	4815	-	-	584	-	-	-	-	0_4_5_3_16_14_44_133_578_4	-	-	-	-
NC_002522.1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium linens	circular	-	-	-	-	No	7610	-	-	585	-	-	-	-	0_5_1_11_2_27_0_38_671_1	-	-	-	-
NC_001456.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	circular	-	-	-	-	No	3054	-	-	586	-	-	-	-	0_4_5_9_15_15_10_116_320_2	-	-	-	-
NC_001791.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	circular	-	-	-	cmx	No	4885	PTU-Cor4	II	423	1_0_5_9_7_3_17_26_78_94_284_0	1_0_5_9_7_3_17_26_78_94_284_0	1_0_5_9_7_3_17_26_78_94_284_0	PTU-Cor4	0_5_1_6_5_25_5_137_318_0	0_5_1_6_5_25_5_137_318_0	0_5_1_6_5_25_5_137_318_0	PTU-Cor4	II
NC_002099.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	linear	-	-	-	-	No	2444	PTU-Cor4	II	423	1_0_5_9_7_3_17_26_78_94_284_0	1_0_5_9_7_3_17_26_78_94_284_0	1_0_5_9_7_3_17_26_78_94_284_0	PTU-Cor4	0_5_1_6_5_25_5_137_318_0	0_5_1_6_5_25_5_137_318_0	0_5_1_6_5_25_5_137_318_0	PTU-Cor4	II
NC_002115.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	linear	-	-	-	-	No	4457	PTU-Cor6	I	386	1_5_0_4_4_9_28_14_76_96_127_0	1_5_0_4_4_9_28_14_76_96_127_0	1_5_0_4_4_9_28_14_76_96_127_0	PTU-Cor6	0_5_1_11_11_23_6_134_705_0	0_5_1_11_11_23_6_134_705_0	0_5_1_11_11_23_6_134_705_0	PTU-Cor6	I
NC_010243.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	circular	-	-	-	-	No	4447	PTU-Cor6	I	386	1_5_0_4_4_9_28_14_76_96_127_0	1_5_0_4_4_9_28_14_76_96_127_0	1_5_0_4_4_9_28_14_76_96_127_0	PTU-Cor6	0_5_1_11_11_23_6_134_705_0	0_5_1_11_11_23_6_134_705_0	0_5_1_11_11_23_6_134_705_0	PTU-Cor6	I
NC_013726.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	circular	MOBF	-	-	-	No	24235	-	-	587	-	-	-	-	0_4_5_3_16_14_15_62_694_3	-	-	-	-
NC_002580.1	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium freudenreichii	circular	-	-	-	-	No	3555	-	-	588	-	-	-	-	0_5_1_6_5_25_42_106_349_2	-	-	-	-
NC_010065.1	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium freudenreichii	circular	-	-	-	-	No	2051	-	-	589	-	-	-	-	0_4_5_9_15_12_9_136_498_4	-	-	-	-
NC_006258.1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	circular	-	-	-	-	No	5987	-	-	590	-	-	-	-	0_5_1_11_11_23_4_145_167_4	-	-	-	-
NC_002699.1	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp. CpI1	circular	-	-	-	-	No	22437	-	-	591	-	-	-	-	0_5_1_11_11_23_4_145_167_5	-	-	-	-
NC_001738.1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces clavuligerus	linear	-	-	-	-	No	11696	-	-	592	-	-	-	-	0_4_5_9_15_15_11_146_829_4	-	-	-	-
NC_003319.1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces coelicolor	circular	-	-	-	-	No	7686	-	-	593	-	-	-	-	0_4_5_3_16_24_7_143_57_1	-	-	-	-
NC_010097.1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lavendulae	linear	-	-	-	-	No	2661	-	-	594	-	-	-	-	0_5_1_6_5_25_5_137_318_3	-	-	-	-
NC_004933.1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces lividans	linear	-	-	-	-	No	50410	-	-	595	-	-	-	-	0_5_1_11_2_27_0_38_662_2	-	-	-	-
NC_004808.2	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rochei	linear	-	-	-	-	No	210614	-	-	596	-	-	-	-	0_5_1_11_11_13_48_26_368_3	-	-	-	-
NC_004934.1	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces violaceoruber	linear	MOBF	-	-	-	No	96742	-	-	597	-	-	-	-	0_5_1_11_2_27_54_80_404_1	-	-	-	-
NC_002569.1	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma leachii	circular	-	-	-	-	No	1022	-	-	598	-	-	-	-	0_5_1_11_11_23_4_24_172_5	-	-	-	-
NC_007387.1	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma citri	circular	MOBC	-	-	-	No	12989	PTU-Etp1	II	367	1_0_5_9_7_3_9_7_48_120_84_0	1_0_5_9_7_3_9_7_48_120_84_0	1_0_5_9_7_3_9_7_48_120_84_0	PTU-Etp1	0_5_1_11_2_20_69_123_274_1	0_5_1_11_2_20_69_123_274_1	0_5_1_11_2_20_69_123_274_1	PTU-Etp1	II
NC_007388.1	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma citri	circular	-	-	-	-	No	14407	PTU-Etp1	II	367	1_0_5_9_7_3_9_7_48_120_84_0	1_0_5_9_7_3_9_7_48_120_84_0	1_0_5_9_7_3_9_7_48_120_84_0	PTU-Etp1	0_5_1_11_2_20_69_123_274_1	0_5_1_11_2_20_69_123_274_1	0_5_1_11_2_20_69_123_274_1	PTU-Etp1	II
NC_007389.1	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma citri	circular	MOBC	-	-	-	No	19325	PTU-Etp1	II	367	1_0_5_9_7_3_9_7_48_120_84_0	1_0_5_9_7_3_9_7_48_120_84_0	1_0_5_9_7_3_9_7_48_120_84_0	PTU-Etp1	0_5_1_11_2_20_69_123_274_1	0_5_1_11_2_20_69_123_274_1	0_5_1_11_2_20_69_123_274_1	PTU-Etp1	II
NC_007390.1	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma citri	circular	MOBC	-	-	-	No	20224	PTU-Etp1	II	367	1_0_5_9_7_3_9_7_48_120_84_0	1_0_5_9_7_3_9_7_48_120_84_0	1_0_5_9_7_3_9_7_48_120_84_0	PTU-Etp1	0_5_1_11_2_20_69_123_274_1	0_5_1_11_2_20_69_123_274_1	0_5_1_11_2_20_69_123_274_1	PTU-Etp1	II
NC_007391.1	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma citri	circular	MOBC;MOBC	-	-	-	No	27778	-	-	599	-	-	-	-	0_5_1_11_11_13_48_37_208_1	-	-	-	-
NC_007392.1	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma citri	circular	MOBC	-	-	-	No	35318	-	-	600	-	-	-	-	0_5_1_11_11_13_48_26_294_3	-	-	-	-
